"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"371_L_MGN",0.00846929702718151,0.00811968129509208,0.00128200627762582,0.0474762077508727,0.0120033294911227,0.0076280410102791,0.00224110571037591,0.00529960419335239,0.00158549491296365,0.000877749971144308,0.000250793675213619,0.014316128260946,0.000987314325749285,0.0157180555505768,0.00437025796685586,0.00128743589479668,0.000543909923458712,0.0107029292010222,0.00148937050781644,0.0153926060462421,0.00569903794638089,0.0173750740606674,0.00396396392455169,0.00533960758992751,0.000662420980245452,0.00798935976813149,0.015561275106725,0.00466393646082701,0.0567826154999241,0.00966398926383037,0.0175031628112541,0.00366235885410135,0.00743847135598733,0.00176703311598189,0.00343372514024814,0.000478444092741326,0.0124346240605028,0.00390240441159965,0.00508249856189702,0.000745132354699929,0.00514444151011242,0.000798501422660492
"373_L_Pf",0.0276937776936367,0.00688651604276517,0.00221146195811232,0.0217218770211517,0.0112846003657879,0.0547933360520704,0.0190674065355922,0.00876601565793422,0.00179626889168846,0.00200397124788519,0.00137468492250471,0.00913630365107469,0.00229058030318234,0.0161974446393819,0.0115091619831699,0.00575811948958544,0.00334681249129942,0.00615375297420381,0.00651653655522801,0.033073874068204,0.0109814412693077,0.0169162982865437,0.00431279066966805,0.00428908495421025,0.0012216820797625,0.0137245186910948,0.0124069032885412,0.00600954895128636,0.0248239234468539,0.0112054417956314,0.0117559200521105,0.00610898962905743,0.00539409111323221,0.0026453386082854,0.00163869518458705,0.00114007893776446,0.0338777711575315,0.0108420231459139,0.0333704299451959,0.00339095032261947,0.00348240898853162,0.00119287077192811
"374_L_PuA",0.00993481429910717,0.00960294909960357,0.000885578652475657,0.0268279693036798,0.00433669807221356,0.0279599031435944,0.00401877606154452,0.0125499967247164,0.0021121023804164,0.00178480903000508,0.000967566058487898,0.00607428706277919,0.000474695819559963,0.0117679122556334,0.00339369866813314,0.0122626858106668,0.00185390236204646,0.0084427575240326,0.00453229418342822,0.047141632952344,0.00162085361629448,0.0216936113938064,0.00225464019401345,0.00581353962272107,0.000364872339238737,0.00251176346063587,0.0155921499231552,0.00281461256668665,0.0265310168675184,0.00527253602077112,0.0197894364727207,0.00305419387939797,0.00902177028650323,0.000657061473483765,0.00263561369754348,0.000659190846759099,0.04708103581311,0.00378608713685408,0.0114534817981182,0.000754896450706019,0.0057696093534833,0.000482033771031681
"375_L_PuI",0.022894761424859,0.0115976703581459,0.000371597232638524,0.0279153514832794,0.00313836116367177,0.0227347646356986,0.00150697745633403,0.0144931543661925,0.000951168979107659,0.00147975554417678,0.000661777139783905,0.0348266115805513,0.00107085969119815,0.00504308059804141,0.000948499995260807,0.00433194113793638,0.000491177559502514,0.0114087971235995,0.00332995512147709,0.0544611439712041,0.00279346454903069,0.0253548233669295,0.00194502274504705,0.0112438809806461,0.000504167443383272,0.000674691272439335,0.0164279480378656,0.00156485011652412,0.0396059280584306,0.00360190079167448,0.00794316803988082,0.00093333969101174,0.00233522906820725,0.000385031784381276,0.00130088479912395,0.000275434362760376,0.0567580479201421,0.00126474411911734,0.0161177368213205,0.000545704537494986,0.00609362575504017,0.000353659025306228
"376_L_PuL",0.00748601822204919,0.0144966391499728,0.000621695063348549,0.0376286570443676,0.0021663681503336,0.021946412115618,0.001862711893956,0.00979015436583969,0.00152450367284534,0.00111408201418974,0.000615014933157098,0.0108571621277699,0.000340173666221299,0.00820958652837268,0.00184295327237305,0.00735365606053102,0.00125509828105503,0.00974618190349185,0.00356664043901701,0.0627977685820855,0.00115370746724112,0.0178105306598115,0.00195261547106846,0.00449346972838188,0.000393011627061835,0.00134241600358257,0.0129516857558926,0.00269439009509523,0.0282360400272234,0.00374571092112717,0.0259644004072845,0.00313793298293899,0.012273056803006,0.000486697722574107,0.00502093277685645,0.000391985258814842,0.0380700976806878,0.00196949502988632,0.0116849951401289,0.000517610099760721,0.00594851326334879,0.000395496623471531
"377_L_PuM",0.0234331012353373,0.00670531846870173,0.000464563908551022,0.0129949009929663,0.00183951727151348,0.0378987069889193,0.00236073986497549,0.0230705076381948,0.00190441179992464,0.00343730871612615,0.00109023346245464,0.0190565465325426,0.00183680019447066,0.00467725556519697,0.00123491377252712,0.00709317665651642,0.00101992052727874,0.010063514961195,0.00615240349482343,0.0653430706632042,0.00524960917251898,0.023528264639429,0.00246865864416137,0.00885664157984577,0.000606419773178452,0.000952342115195075,0.00899719425420336,0.00137748315826331,0.0270959548931741,0.00253157268711693,0.00747562925314179,0.00120077153876254,0.00190227329481728,0.000322150650948295,0.00129203438179054,0.000492611175591394,0.0494761235781278,0.00126645494222742,0.0298695011569313,0.00127038105443381,0.00282001001147022,0.000316952491945343
"378_L_VA",0.0211841865233307,0.00495321725251019,0.000719159364848895,0.00841918529387639,0.00208681170109942,0.0380578948070121,0.00478696527268581,0.0205823389125185,0.00240198657919256,0.00471746420536053,0.00255483631762288,0.00703557071805185,0.00045027823996632,0.00390298313094877,0.00219241616781184,0.00593978793656314,0.000623251126172333,0.00289933297142797,0.00841121374405875,0.0384212041691939,0.00414067133477063,0.0178287952079379,0.0024498351556251,0.00377293512259269,0.000326890226845476,0.00179397831844814,0.0054589973873926,0.0017836528082457,0.0139708522930185,0.00332130110624195,0.00573004730525237,0.00162634309198529,0.00132799336016108,0.000376124900337505,0.00147832898682472,0.000705321220358937,0.0152800892560722,0.00219392406670321,0.0263314904138414,0.00114498715642364,0.00147417163695355,0.000373737982908872
"379_L_VLa",0.0114294216830504,0.00663523954437731,0.000731717557231582,0.00914138370890503,0.00215521373026449,0.0347858824067769,0.00507143013298798,0.0175041762569563,0.00291195043947645,0.00346539406521138,0.00257569870373552,0.00443806918790319,0.000385469056764847,0.00869930835520985,0.0018040624130366,0.0117775796560996,0.00145443922987009,0.00251802673813885,0.00751936605405728,0.030593603613631,0.0021517292702452,0.0137963230646269,0.00216907704249053,0.0032832815375069,0.000308541673069561,0.00295660196586203,0.00607783547448569,0.0016959068848692,0.0135274702397845,0.0031246800561954,0.0119329889817156,0.00207813644076387,0.00516066251930722,0.000456193457408637,0.00221878203228888,0.000925989879074132,0.0252680224532074,0.00228448385682288,0.0137512287455692,0.000978999579264436,0.00150326721002947,0.000369557736145172
"380_L_VLp",0.00891776787213863,0.00844112809462175,0.00057274888923268,0.00901926213574933,0.00175491902462933,0.0250688912316381,0.00343088857064146,0.0123052101719257,0.00182221741181336,0.00215974654693596,0.00149478416641785,0.00350603906803572,0.000315462863764248,0.0217617606882416,0.0019354556824403,0.00952037804101689,0.00191917414292174,0.00219226036782181,0.0049219004378195,0.0295281174799281,0.00138637318655757,0.0120498006620585,0.00155011984477685,0.00326114204814976,0.000271172341440469,0.00489523966044568,0.00641526969020741,0.00134681982582205,0.0119311314900773,0.00246397174126631,0.0125531131345299,0.00246513590261882,0.00939339265622762,0.000558823983288299,0.00269127933622884,0.000621376464907179,0.0283301547390745,0.00234747088500732,0.0110895017973871,0.000637505265786521,0.00144078305847379,0.000287612762064102
"381_L_VPL",0.00493046066940831,0.0107616986859565,0.000713714648918899,0.0206420841600277,0.00300676874791977,0.0120518841517815,0.00241817799205916,0.00573966392173779,0.0018860417530059,0.000905191059987036,0.000406334678709856,0.00302914876691729,0.000340670604659767,0.0384553954171303,0.00360341273884428,0.00350801538515922,0.000823725212207182,0.00481620161283418,0.00240073975206851,0.0255952525650364,0.000969259839079756,0.0116627257612633,0.00183808035889223,0.00258073554489147,0.00033217147568978,0.008063853890629,0.012070391403557,0.00307609960110582,0.021126212642369,0.00351458825843463,0.0226190058252744,0.00484838144124049,0.022354950123622,0.00090492575238551,0.00569874473629014,0.000451800781190495,0.0233281482121845,0.00331064033459649,0.00454388322710373,0.000472596581791468,0.00304845784701317,0.000366779074219043
